ID,Name,Exercise type,BodyPart,Equipment,Gender,Target,Synergist,Type,Regions,category
3433,Swimmer Kicks,Strength,Hips,Body weight,Male,,,,,strength
3436,Superman,Strength,Hips,Body weight,Male,Erector Spinae,"Gluteus Maximus, Hamstrings",,,strength
3438,Decline Leg Hip Raise,Strength,"Hips, Waist",Body weight,Male,"Iliopsoas, Rectus Abdominis","Obliques, Quadriceps, Sartorius, Tensor Fasciae Latae",,,strength
3440,Split Jump to Box,Aerobic,Plyometrics,Body weight,Male,,,,,cardio
3441,Seated Flexion And Extension Neck,Strength,Neck,Body weight,Male,,,,,strength
3443,Dip on Floor with Chair,Strength,Chest,Body weight,Male,,,,,strength
3444,Step-up on Chair,Strength,"Hips, Thighs",Body weight,Male,,,,,strength
3448,Dumbbell Side Lunge,Strength,"Hips, Thighs",Dumbbells,Male,"Gluteus Maximus, Gluteus Medius, Quadriceps","Adductor Brevis, Adductor Longus, Adductor Magnus, Gracilis, Pectineous, Soleus",,,strength
3449,Dumbbell Russian Twist,Strength,Waist,Dumbbells,Male,Obliques,Rectus Abdominis,,,strength
3452,Dumbbell Svend Press,Strength,Chest,Dumbbells,Male,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head","Deltoid Anterior, Triceps Brachii",,,strength
3454,Dumbbell Superman,Strength,Hips,Dumbbells,Male,"Erector Spinae, Gluteus Maximus",Hamstrings,,,strength
3459,Pulse-up,Strength,Waist,Body weight,Male,,,,,strength
3460,Side Plank Hip Adduction (bent knee),Strength,Hips,Body weight,Male,,,,,strength
3466,Warming-up in Lunge (six),Stretching,"Hips, Thighs, Waist",Body weight,Male,,,,,mobility
3469,Downward Facing Dog,Stretching,"Back, Chest, Hips, Shoulders, Thighs, Upper Arms",Body weight,Male,,,,,mobility
3470,Forward Lunge,Strength,"Hips, Thighs",Body weight,Male,,,,,strength
3472,Lying Leg Tuck Hip Stretch,Stretching,Stretching,Body weight,,,,static,Lower body,mobility
3474,Lying Leg Tuck Hip Stretch wth Overhead Hands,Stretching,Stretching,Body weight,,,,static,Lower body,mobility
3476,Lying Leg Tuck Hip Twist Stretch,Stretching,Stretching,Body weight,,,,dynamic,Lower body,mobility
3479,Alternate Heel Touch Side Kick Squat,Strength,"Hips, Thighs",Body weight,Male,,,,,strength
