ID,Name,Exercise type,BodyPart,Equipment,Gender,Target,Synergist,Type,Regions,category
5072,Kettlebell Sit-up Press,Strength,Waist,Kettlebell,Male,,,,,strength
5073,Kettlebell Sumo Squat (VERSION 2),Strength,Hips,Kettlebell,Male,"Gluteus Maximus, Gluteus Medius, Quadriceps","Adductor Brevis, Adductor Longus, Adductor Magnus, Pectineous, Soleus",,,strength
5074,Landmine Press,Strength,Shoulders,Body weight,Male,,,,,strength
5075,Barbell Muscle Clean,Strength,Weightlifting,Barbell,Male,,,,,strength
5076,Dumbbell Overhead Lunge,Strength,Thighs,Dumbbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",,,strength
5077,Bodyweight Svend Press,Strength,Chest,Body weight,Male,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head, Triceps Brachii",Deltoid Anterior,,,strength
5078,Seated Chest Clam (male),Stretching,,Body weight,Male,"Deltoid Anterior, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head",,,,strength
5079,Lying Floor Fly,Strength,Chest,Body weight,Male,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head",Deltoid Anterior,,,strength
5080,Palm-up   Palm down Rotation,Strength,Shoulders,Body weight,Male,,,,,strength
5081,Seated Sky Look (male),Stretching,,Body weight,Male,"Deltoid Anterior, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head",,,,strength
5087,Cable Shoulder 90 degrees External Rotation,Strength,Back,Cable,Male,,,,,strength
5088,Cable Shoulder Internal Rotation,Strength,Shoulders,Cable,Male,"Deltoid Anterior, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head",,,,strength
5089,Cable Shoulder 90 degrees Internal Rotation,Strength,Back,Cable,Male,,,,,strength
5090,Cable Standing Row,Strength,Back,Cable,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Middle Fibers, Trapezius Upper Fibers ","Brachialis, Brachioradialis, Deltoid Posterior",,,strength
5091,Barbell Reverse Grip Bench Press,Strength,Chest,Flat Bench,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",,,strength
5092,Dumbbell Single Arm Underhand Front Raise,Strength,Shoulders,Dumbbell,Male,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior",,,strength
5093,Dumbbell Single Arm Floor Press,Strength,Chest,Dumbbell,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",,,strength
5094,Landmine Single Arm Press,Strength,Shoulders,Body weight,Male,,,,,strength
5095,Dumbbell Single Arm Overhead Lunge,Strength,Thighs,Dumbbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",,,strength
5096,Single Arm Overhead Dumbbell Squat,Strength,Thighs,Dumbbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus",,,strength
5097,Dumbbell Single Arm Alternate Decline Bench Press,Strength,Chest,Dumbbell,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",,,strength
5098,Dumbbell Single Arm Alternate Fly,Strength,Chest,Dumbbell,Male,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head","Biceps Brachii, Deltoid Anterior",,,strength
